Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	exo_control_1 Spectral Count	exo_control_2 Spectral Count	exo_control_3 Spectral Count	exo_hyb_1 Spectral Count	exo_hyb_2 Spectral Count	exo_hyb_3 Spectral Count	exo_control_1 Unique Spectral Count	exo_control_2 Unique Spectral Count	exo_control_3 Unique Spectral Count	exo_hyb_1 Unique Spectral Count	exo_hyb_2 Unique Spectral Count	exo_hyb_3 Unique Spectral Count	exo_control_1 Total Spectral Count	exo_control_2 Total Spectral Count	exo_control_3 Total Spectral Count	exo_hyb_1 Total Spectral Count	exo_hyb_2 Total Spectral Count	exo_hyb_3 Total Spectral Count	exo_control_1 Intensity	exo_control_2 Intensity	exo_control_3 Intensity	exo_hyb_1 Intensity	exo_hyb_2 Intensity	exo_hyb_3 Intensity	exo_control_1 MaxLFQ Intensity	exo_control_2 MaxLFQ Intensity	exo_control_3 MaxLFQ Intensity	exo_hyb_1 MaxLFQ Intensity	exo_hyb_2 MaxLFQ Intensity	exo_hyb_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P0C0A3|CHMP6_MOUSE	P0C0A3	CHMP6_MOUSE	Chmp6	200	Mus musculus	1:Experimental evidence at protein level	Charged multivesicular body protein 6	0.9334	0.999	1	6	0	6	0	1	1	2	1	1	0	0	0	0	0	0	0	1	1	2	1	1	0.0	50098.58	50169.188	60392.902	73324.336	49446.35	0.0	50098.58	50169.188	60392.902	73324.336	49446.35	tr|B1AZ42|B1AZ42_MOUSE
sp|P0C0S6|H2AZ_MOUSE	P0C0S6	H2AZ_MOUSE	H2az1	128	Mus musculus	1:Experimental evidence at protein level	Histone H2A.Z	1.0	0.999	5	71	0	125	10	12	11	13	9	16	0	0	0	0	0	0	17	18	18	23	24	25	1729455.2	2255985.5	2379708.5	2362977.0	1867536.1	2217008.8	829166.56	1126582.1	1216237.2	968026.4	763284.25	1161462.4	sp|Q3THW5|H2AV_MOUSE
sp|P0DN34|NDUB1_MOUSE	P0DN34	NDUB1_MOUSE	Ndufb1	57	Mus musculus	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	0.9943	0.999	1	8	8	8	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	84309.97	176182.9	188710.47	132678.55	109551.32	128433.766	84309.97	176182.9	188710.47	132678.55	109551.32	128433.766	
sp|P0DOV1-2|IFI5B_MOUSE	P0DOV1-2	IFI5B_MOUSE	Mnda	423	Mus musculus		Isoform 2 of Interferon-activable protein 205-B	0.9308	0.999	1	3	0	3	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0.0	52942.32	0.0	59581.35	35590.53	57421.203	0.0	52942.32	0.0	59581.35	35590.53	57421.203	sp|P0DOV1|IFI5B_MOUSE, sp|Q8CGE8|IFI5A_MOUSE
sp|P0DOV2|IFI4_MOUSE	P0DOV2	IFI4_MOUSE	Ifi204	619	Mus musculus	1:Experimental evidence at protein level	Interferon-activable protein 204	0.9334	0.999	1	4	4	4	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	2	0	2	0.0	0.0	0.0	14844.567	0.0	15287.106	0.0	0.0	0.0	14844.567	0.0	15287.106	
sp|P0DP26|CALM1_MOUSE	P0DP26	CALM1_MOUSE	Calm1	149	Mus musculus	1:Experimental evidence at protein level	Calmodulin-1	1.0	0.999	11	411	0	411	71	62	59	76	82	61	0	0	0	0	0	0	71	62	59	76	82	61	6087163.0	4923835.5	4685013.0	5944005.0	7654595.5	4551695.0	1041974.8	982881.0	989932.8	943169.9	1130087.0	857908.4	sp|P0DP27|CALM2_MOUSE, sp|P0DP28|CALM3_MOUSE
sp|P0DPD9-2|EFCE2_MOUSE	P0DPD9-2	EFCE2_MOUSE	Eef1akmt4-Ece2	910	Mus musculus		Isoform Eef1akmt4-Ece2-2 of EEF1AKMT4-ECE2 readthrough transcript protein	0.9312	0.999	1	4	0	4	0	1	2	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0.0	72294.266	74233.32	61122.723	0.0	0.0	0.0	72294.266	74233.32	61122.723	0.0	0.0	sp|P0DPD9|EFCE2_MOUSE, sp|P0DPE0|EFMT4_MOUSE, tr|F7DDS0|F7DDS0_MOUSE
sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	1.0	0.999	30	707	0	1648	106	110	172	115	95	109	0	0	0	0	0	0	247	260	344	277	258	262	1.1639705E7	9641301.0	1.8950728E7	1.2884625E7	1.0015577E7	1.0376378E7	3765075.2	2907743.2	4702140.5	3898540.0	3167699.8	2751555.2	sp|P0DTE8|AMY1C_HUMAN, sp|P0DUB6|AMY1A_HUMAN
sp|P10107|ANXA1_MOUSE	P10107	ANXA1_MOUSE	Anxa1	346	Mus musculus	1:Experimental evidence at protein level	Annexin A1	1.0	0.999	11	50	0	50	8	11	10	10	3	8	0	0	0	0	0	0	8	11	10	10	3	8	806068.1	639614.1	448242.78	747769.44	224880.03	407465.4	370571.8	165261.3	143786.44	178532.34	143945.69	119244.74	tr|A0A494BBD8|A0A494BBD8_MOUSE
sp|P10126|EF1A1_MOUSE	P10126	EF1A1_MOUSE	Eef1a1	462	Mus musculus	1:Experimental evidence at protein level	Elongation factor 1-alpha 1	1.0	0.999	49	2608	624	2608	341	530	454	433	380	470	84	131	102	105	103	99	341	530	454	433	380	470	9.323209E7	1.09193576E8	9.59293E7	9.62613E7	1.0011407E8	8.525344E7	1.7663384E7	2.0440112E7	1.8102736E7	1.7377184E7	1.9229028E7	1.6490177E7	
sp|P10404|ENV1_MOUSE	P10404	ENV1_MOUSE		641	Mus musculus	1:Experimental evidence at protein level	MLV-related proviral Env polyprotein	1.0	0.999	8	32	19	32	3	3	2	10	13	1	2	2	2	6	6	1	3	3	2	10	13	1	206073.84	107434.06	51735.746	805147.44	607385.75	29933.049	75854.53	47888.895	45921.168	144599.67	99166.375	50634.16	
sp|P10493|NID1_MOUSE	P10493	NID1_MOUSE	Nid1	1245	Mus musculus	1:Experimental evidence at protein level	Nidogen-1	1.0	0.999	24	139	139	139	18	27	22	25	26	21	18	27	22	25	26	21	18	27	22	25	26	21	1450948.6	1224979.4	1100276.0	1549216.1	1527450.5	1803514.5	300671.1	230553.86	228970.19	264541.62	240956.34	274349.56	
sp|P10518|HEM2_MOUSE	P10518	HEM2_MOUSE	Alad	330	Mus musculus	1:Experimental evidence at protein level	Delta-aminolevulinic acid dehydratase	1.0	0.999	9	52	52	52	8	11	10	4	11	8	8	11	10	4	11	8	8	11	10	4	11	8	433297.94	473980.72	429799.84	473517.16	529345.94	396897.44	112771.875	132178.14	123122.82	145030.97	108478.516	133063.34	
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin	1.0	0.999	6	48	22	48	11	5	5	8	11	8	7	3	3	2	5	2	11	5	5	8	11	8	3180757.5	502789.0	571998.1	716139.6	2433961.0	423173.1	1252706.8	282778.72	310038.06	310035.2	1141083.0	275356.47	
sp|P10605|CATB_MOUSE	P10605	CATB_MOUSE	Ctsb	339	Mus musculus	1:Experimental evidence at protein level	Cathepsin B	1.0	0.999	6	67	67	67	11	13	11	9	12	11	11	13	11	9	12	11	11	13	11	9	12	11	617542.06	1075010.8	1063927.4	712500.6	521681.75	792602.5	227624.66	292962.1	251680.45	249362.58	241694.6	285501.4	
sp|P10630-2|IF4A2_MOUSE	P10630-2	IF4A2_MOUSE	Eif4a2	408	Mus musculus		Isoform 2 of Eukaryotic initiation factor 4A-II	1.0	0.999	29	215	0	532	33	43	33	33	36	37	0	0	0	0	0	0	70	93	83	90	104	92	2893576.2	2973137.2	2260321.0	3232903.5	3383493.0	2996787.8	405067.78	442074.78	356739.84	449528.56	463187.9	450591.66	sp|P10630|IF4A2_MOUSE
sp|P10639|THIO_MOUSE	P10639	THIO_MOUSE	Txn	105	Mus musculus	1:Experimental evidence at protein level	Thioredoxin	1.0	0.999	4	12	12	38	4	0	0	4	4	0	4	0	0	4	4	0	8	2	2	10	10	6	766657.4	0.0	0.0	916630.6	1657422.5	0.0	462454.66	0.0	0.0	666739.8	1166623.9	0.0	
sp|P10649|GSTM1_MOUSE	P10649	GSTM1_MOUSE	Gstm1	218	Mus musculus	1:Experimental evidence at protein level	Glutathione S-transferase Mu 1	1.0	0.999	28	525	13	689	71	92	92	89	82	99	0	3	4	3	2	1	90	123	119	117	116	124	1.5085071E7	1.9844262E7	1.5453999E7	2.0497958E7	1.7306624E7	2.085253E7	2243485.5	3314965.0	3322507.2	2955670.5	2594911.2	3327962.8	
sp|P10711|TCEA1_MOUSE	P10711	TCEA1_MOUSE	Tcea1	301	Mus musculus	1:Experimental evidence at protein level	Transcription elongation factor A protein 1	1.0	0.999	8	38	0	38	5	7	4	7	7	8	0	0	0	0	0	0	5	7	4	7	7	8	221725.1	514576.03	204414.05	445263.3	284997.12	435328.38	146361.56	155447.6	110152.01	150076.52	193692.5	141378.78	tr|E9PYD5|E9PYD5_MOUSE
sp|P10833|RRAS_MOUSE	P10833	RRAS_MOUSE	Rras	218	Mus musculus	1:Experimental evidence at protein level	Ras-related protein R-Ras	1.0	0.999	5	18	18	31	3	3	3	3	5	1	3	3	3	3	5	1	6	5	6	4	6	4	161903.23	90219.195	170912.25	224608.62	114134.375	120891.67	125584.73	73676.34	125955.625	128306.375	77873.59	120891.67	
sp|P10852-2|4F2_MOUSE	P10852-2	4F2_MOUSE	Slc3a2	565	Mus musculus		Isoform 2 of 4F2 cell-surface antigen heavy chain	1.0	0.999	17	209	0	209	34	36	32	32	39	36	0	0	0	0	0	0	34	36	32	32	39	36	6420857.5	5824773.5	4169751.0	6133653.5	6749716.5	4690157.5	1362057.0	1401342.6	1063176.2	1286052.8	1295983.1	1158009.2	sp|P10852|4F2_MOUSE
sp|P10922|H10_MOUSE	P10922	H10_MOUSE	H1-0	194	Mus musculus	2:Experimental evidence at transcript level	Histone H1.0	1.0	0.999	12	319	319	319	51	56	50	58	54	50	51	56	50	58	54	50	51	56	50	58	54	50	7183451.0	7159907.0	6552171.5	9610909.0	7040235.0	6938326.0	1829417.0	2172902.8	2126885.0	2082727.6	1512351.2	1867155.0	
sp|P11031|TCP4_MOUSE	P11031	TCP4_MOUSE	Sub1	127	Mus musculus	1:Experimental evidence at protein level	Activated RNA polymerase II transcriptional coactivator p15	1.0	0.999	6	23	23	23	3	0	8	6	5	1	3	0	8	6	5	1	3	0	8	6	5	1	207924.31	0.0	197129.27	343636.94	402754.44	52750.49	90708.87	0.0	105196.56	107227.4	150743.81	67742.37	
sp|P11087|CO1A1_MOUSE	P11087	CO1A1_MOUSE	Col1a1	1453	Mus musculus	1:Experimental evidence at protein level	Collagen alpha-1(I) chain	1.0	0.999	7	63	3	63	6	8	9	16	14	10	0	0	0	0	3	0	6	8	9	16	14	10	805925.6	392283.06	842764.0	2200932.8	1446847.9	549106.2	342869.8	228667.28	304970.7	745197.56	616886.2	285503.25	
sp|P11152|LIPL_MOUSE	P11152	LIPL_MOUSE	Lpl	474	Mus musculus	1:Experimental evidence at protein level	Lipoprotein lipase	1.0	0.999	2	16	16	16	3	2	2	6	1	2	3	2	2	6	1	2	3	2	2	6	1	2	103149.35	87845.02	127518.74	159986.5	60569.473	105507.5	52743.254	59113.293	83851.77	57594.934	47917.938	69904.445	
sp|P11247|PERM_MOUSE	P11247	PERM_MOUSE	Mpo	718	Mus musculus	1:Experimental evidence at protein level	Myeloperoxidase	0.9999	0.9989	2	3	3	3	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	20328.746	66445.19	0.0	0.0	0.0	0.0	32556.553	29851.102	0.0	0.0	0.0	0.0	
sp|P11276|FINC_MOUSE	P11276	FINC_MOUSE	Fn1	2477	Mus musculus	1:Experimental evidence at protein level	Fibronectin	1.0	0.999	20	63	0	63	9	8	3	22	12	9	0	0	0	0	0	0	9	8	3	22	12	9	476281.84	300523.94	200682.89	904957.56	527791.06	372295.94	150413.77	120278.336	111591.79	150834.64	115961.02	114047.555	tr|A0A087WR50|A0A087WR50_MOUSE, tr|A0A087WS56|A0A087WS56_MOUSE, tr|Q3UHL6|Q3UHL6_MOUSE
sp|P11352|GPX1_MOUSE	P11352	GPX1_MOUSE	Gpx1	201	Mus musculus	1:Experimental evidence at protein level	Glutathione peroxidase 1	1.0	0.999	10	119	18	119	22	25	19	14	20	19	4	4	2	2	2	4	22	25	19	14	20	19	2111384.2	2085189.9	1841930.2	895590.25	1722015.9	1766662.6	592345.56	599062.06	543720.2	240554.45	497322.25	479972.94	
sp|P11438|LAMP1_MOUSE	P11438	LAMP1_MOUSE	Lamp1	406	Mus musculus	1:Experimental evidence at protein level	Lysosome-associated membrane glycoprotein 1	1.0	0.999	2	18	18	18	2	2	1	4	4	5	2	2	1	4	4	5	2	2	1	4	4	5	278471.94	221488.08	88377.87	382084.5	479722.2	294310.94	166942.8	134100.53	112230.234	220259.03	215273.5	177999.3	
sp|P11499|HS90B_MOUSE	P11499	HS90B_MOUSE	Hsp90ab1	724	Mus musculus	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.999	47	474	131	549	83	74	58	96	96	67	24	17	13	31	30	16	97	85	70	108	114	75	1.4836179E7	1.0409529E7	8173411.0	1.4382587E7	1.5428899E7	9296019.0	1933360.8	1814227.0	1519661.5	1727817.2	1905510.2	1551657.4	
sp|P11531|DMD_MOUSE	P11531	DMD_MOUSE	Dmd	3678	Mus musculus	1:Experimental evidence at protein level	Dystrophin	1.0	0.999	14	59	0	63	11	6	13	10	9	10	0	0	0	0	0	0	11	7	13	11	10	11	378753.88	296530.62	339548.7	315165.62	330773.0	291155.34	131721.36	137331.81	140113.64	126366.73	116722.85	95093.914	tr|A0A668KLA2|A0A668KLA2_MOUSE
sp|P11679|K2C8_MOUSE	P11679	K2C8_MOUSE	Krt8	490	Mus musculus	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8	1.0	0.999	70	1320	1260	1617	199	203	197	262	265	194	187	198	191	251	247	186	289	233	236	294	337	228	4.8008196E7	3.064847E7	2.704401E7	5.4194108E7	5.2145948E7	2.8876274E7	5190883.5	4140773.0	3723690.0	5481456.0	4717688.0	3764445.2	
sp|P11688|ITA5_MOUSE	P11688	ITA5_MOUSE	Itga5	1053	Mus musculus	1:Experimental evidence at protein level	Integrin alpha-5	0.8957	0.9984	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	20224.648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P11930|NUD19_MOUSE	P11930	NUD19_MOUSE	Nudt19	357	Mus musculus	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	0.999	0.999	2	4	4	4	2	0	1	0	1	0	2	0	1	0	1	0	2	0	1	0	1	0	38940.426	0.0	27172.488	0.0	48573.58	0.0	38940.426	0.0	0.0	0.0	48573.58	0.0	
sp|P11983-2|TCPA_MOUSE	P11983-2	TCPA_MOUSE	Tcp1	507	Mus musculus		Isoform 2 of T-complex protein 1 subunit alpha	0.9997	0.9967	19	1	0	232	0	1	0	0	0	0	0	0	0	0	0	0	35	38	35	39	39	46	0.0	3218.895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P11983|TCPA_MOUSE	P11983	TCPA_MOUSE	Tcp1	556	Mus musculus	1:Experimental evidence at protein level	T-complex protein 1 subunit alpha	1.0	0.999	22	266	0	266	39	43	42	45	44	53	0	0	0	0	0	0	39	43	42	45	44	53	2991225.8	2806145.0	2481799.0	3597779.0	3084735.8	3186109.2	609972.75	716692.44	695482.3	672063.1	595648.4	662813.7	
sp|P12023-2|A4_MOUSE	P12023-2	A4_MOUSE	App	695	Mus musculus		Isoform APP695 of Amyloid-beta precursor protein	0.8756	0.998	1	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	4564.1113	441998.12	0.0	0.0	0.0	0.0	4564.1113	441998.12	0.0	0.0	sp|P12023-3|A4_MOUSE, sp|P12023|A4_MOUSE, tr|A0A2I3BPT1|A0A2I3BPT1_MOUSE, tr|A0A2I3BQZ9|A0A2I3BQZ9_MOUSE, tr|Q3TWF3|Q3TWF3_MOUSE
sp|P12382|PFKAL_MOUSE	P12382	PFKAL_MOUSE	Pfkl	780	Mus musculus	1:Experimental evidence at protein level	ATP-dependent 6-phosphofructokinase, liver type	1.0	0.999	14	65	51	65	11	14	10	9	10	11	10	9	7	7	8	10	11	14	10	9	10	11	469324.3	657784.2	585168.25	469745.28	371132.06	354247.6	145634.19	119076.73	138447.3	107916.68	126208.805	133254.0	
sp|P12787|COX5A_MOUSE	P12787	COX5A_MOUSE	Cox5a	146	Mus musculus	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 5A, mitochondrial	1.0	0.999	6	99	99	99	15	20	13	18	19	14	15	20	13	18	19	14	15	20	13	18	19	14	3575911.5	2755958.0	1711786.1	2978853.2	3365097.0	2091830.2	1718758.4	1284013.6	1186907.8	1206105.1	1415699.4	925896.1	
sp|P12815-2|PDCD6_MOUSE	P12815-2	PDCD6_MOUSE	Pdcd6	189	Mus musculus		Isoform 2 of Programmed cell death protein 6	1.0	0.999	7	34	0	34	5	5	6	8	4	6	0	0	0	0	0	0	5	5	6	8	4	6	568998.0	446274.38	448369.06	508568.66	503792.34	438287.25	208830.95	155123.12	140850.92	152356.48	172033.22	136413.9	sp|P12815|PDCD6_MOUSE
sp|P12970|RL7A_MOUSE	P12970	RL7A_MOUSE	Rpl7a	266	Mus musculus	1:Experimental evidence at protein level	Large ribosomal subunit protein eL8	1.0	0.999	30	673	673	673	101	124	105	121	117	105	101	124	105	121	117	105	101	124	105	121	117	105	2.8951938E7	2.8532526E7	2.2253808E7	3.6063084E7	3.7689696E7	2.8527724E7	6374471.0	7236134.5	5858366.0	6713722.0	7212134.0	6006539.0	
sp|P13020-2|GELS_MOUSE	P13020-2	GELS_MOUSE	Gsn	731	Mus musculus		Isoform 2 of Gelsolin	1.0	0.999	18	105	0	105	15	17	11	26	20	16	0	0	0	0	0	0	15	17	11	26	20	16	1035430.5	739171.25	698678.6	1324519.0	1342188.2	720501.4	216898.0	159559.05	157528.94	224010.67	265131.22	152259.58	sp|P13020|GELS_MOUSE
sp|P13439|UMPS_MOUSE	P13439	UMPS_MOUSE	Umps	481	Mus musculus	1:Experimental evidence at protein level	Uridine 5'-monophosphate synthase	1.0	0.999	10	52	49	52	9	13	7	11	6	6	8	13	7	10	5	6	9	13	7	11	6	6	368953.1	369859.62	349645.4	291609.03	363110.47	260818.64	114609.4	133060.05	127614.086	92473.484	139527.11	119234.91	
sp|P13634|CAH1_MOUSE	P13634	CAH1_MOUSE	Ca1	261	Mus musculus	1:Experimental evidence at protein level	Carbonic anhydrase 1	1.0	0.999	3	5	0	5	3	0	0	1	1	0	0	0	0	0	0	0	3	0	0	1	1	0	72835.84	0.0	0.0	26326.148	20709.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	67	6065	5526	6065	1926	523	791	477	1685	663	1757	478	738	424	1508	621	1926	523	791	477	1685	663	5.8001594E8	8.560012E7	1.5482051E8	9.256362E7	4.1151178E8	9.8477864E7	6.5009572E7	9888087.0	2.1026548E7	1.0744073E7	4.255618E7	1.1482777E7	
sp|P13707|GPDA_MOUSE	P13707	GPDA_MOUSE	Gpd1	349	Mus musculus	1:Experimental evidence at protein level	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	1.0	0.999	14	120	0	120	15	22	17	23	24	19	0	0	0	0	0	0	15	22	17	23	24	19	1968182.1	1591875.2	1390881.0	2553777.0	2055324.4	1500397.8	648049.44	664131.2	614866.6	594331.7	590873.75	589685.2	tr|E0CXN5|E0CXN5_MOUSE
sp|P14069|S10A6_MOUSE	P14069	S10A6_MOUSE	S100a6	89	Mus musculus	1:Experimental evidence at protein level	Protein S100-A6	1.0	0.9978	3	7	7	7	2	0	0	2	3	0	2	0	0	2	3	0	2	0	0	2	3	0	49058.07	0.0	0.0	142929.86	222001.64	0.0	49058.07	0.0	0.0	89246.66	108374.2	0.0	
sp|P14094|AT1B1_MOUSE	P14094	AT1B1_MOUSE	Atp1b1	304	Mus musculus	1:Experimental evidence at protein level	Sodium/potassium-transporting ATPase subunit beta-1	0.9039	0.9985	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	53686.03	0.0	0.0	43896.805	0.0	0.0	53686.03	0.0	0.0	43896.805	0.0	0.0	tr|A0A0A6YX05|A0A0A6YX05_MOUSE
sp|P14106|C1QB_MOUSE	P14106	C1QB_MOUSE	C1qb	253	Mus musculus	1:Experimental evidence at protein level	Complement C1q subcomponent subunit B	0.9334	0.999	1	4	4	4	2	0	0	1	1	0	2	0	0	1	1	0	2	0	0	1	1	0	55987.96	0.0	0.0	56715.266	38316.586	0.0	55987.96	0.0	0.0	56715.266	38316.586	0.0	
sp|P14115|RL27A_MOUSE	P14115	RL27A_MOUSE	Rpl27a	148	Mus musculus	1:Experimental evidence at protein level	Large ribosomal subunit protein uL15	1.0	0.999	13	173	173	173	23	29	26	34	38	23	23	29	26	34	38	23	23	29	26	34	38	23	8799168.0	6720468.0	5398422.0	8958113.0	1.3856279E7	5228544.5	3940588.8	2833066.5	2678154.0	3808700.5	5582372.5	2113303.0	
sp|P14131|RS16_MOUSE	P14131	RS16_MOUSE	Rps16	146	Mus musculus	1:Experimental evidence at protein level	Small ribosomal subunit protein uS9	1.0	0.999	23	372	372	372	53	63	55	60	70	71	53	63	55	60	70	71	53	63	55	60	70	71	2.1396294E7	1.8101004E7	1.9394246E7	1.9209974E7	2.0762898E7	1.972691E7	7007047.0	5983663.0	5769524.0	6767599.5	6762574.5	6082096.0	
sp|P14148|RL7_MOUSE	P14148	RL7_MOUSE	Rpl7	270	Mus musculus	1:Experimental evidence at protein level	Large ribosomal subunit protein uL30	1.0	0.999	38	782	265	782	128	137	113	124	144	136	42	50	36	44	44	49	128	137	113	124	144	136	2.4035044E7	2.2692876E7	2.2286736E7	2.4673378E7	2.9644248E7	2.0139088E7	3696621.2	3617113.8	3593359.0	3916177.8	4447376.5	3310735.2	
sp|P14152|MDHC_MOUSE	P14152	MDHC_MOUSE	Mdh1	334	Mus musculus	1:Experimental evidence at protein level	Malate dehydrogenase, cytoplasmic	1.0	0.999	16	250	40	250	40	46	37	40	48	39	5	6	6	7	9	7	40	46	37	40	48	39	9289458.0	8394110.0	7452670.5	8989378.0	1.0656485E7	6262145.0	2130437.8	2167964.0	2010428.2	2597892.5	3164321.5	1703013.8	
sp|P14206|RSSA_MOUSE	P14206	RSSA_MOUSE	Rpsa	295	Mus musculus	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2	1.0	0.999	25	758	140	758	99	127	128	123	154	127	12	25	24	23	31	25	99	127	128	123	154	127	4.1903932E7	4.0632164E7	3.5330252E7	4.363717E7	4.3127556E7	4.141119E7	1.3143945E7	1.2807947E7	1.1860112E7	1.4722021E7	1.3354435E7	1.2455876E7	
sp|P14211|CALR_MOUSE	P14211	CALR_MOUSE	Calr	416	Mus musculus	1:Experimental evidence at protein level	Calreticulin	1.0	0.999	28	403	403	403	51	70	60	82	63	77	51	70	60	82	63	77	51	70	60	82	63	77	5930867.5	6797014.5	5896331.0	1.0654913E7	9582117.0	7896285.5	848722.3	1214407.5	987096.3	1527939.6	1191013.1	1066135.2	
sp|P14576|SRP54_MOUSE	P14576	SRP54_MOUSE	Srp54	504	Mus musculus	1:Experimental evidence at protein level	Signal recognition particle subunit SRP54	1.0	0.999	30	426	15	426	71	67	56	75	93	64	3	2	1	4	3	2	71	67	56	75	93	64	3857309.2	3935805.5	2933514.8	4994862.5	6492026.0	3079600.8	449218.78	493883.5	407784.1	411035.38	473482.62	423284.28	
sp|P14602-2|HSPB1_MOUSE	P14602-2	HSPB1_MOUSE	Hspb1	197	Mus musculus		Isoform B of Heat shock protein beta-1	1.0	0.999	5	33	0	33	6	5	7	7	3	5	0	0	0	0	0	0	6	5	7	7	3	5	388244.56	120001.27	134792.38	468149.72	185325.42	92226.98	108419.52	66082.97	81819.41	145621.06	111521.484	52751.83	sp|P14602|HSPB1_MOUSE
sp|P14685|PSMD3_MOUSE	P14685	PSMD3_MOUSE	Psmd3	530	Mus musculus	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 3	1.0	0.999	26	159	94	159	20	30	24	32	25	28	11	18	15	18	12	20	20	30	24	32	25	28	2182863.0	2254484.0	1693022.1	2498248.8	2246527.8	2407318.8	436128.78	388057.7	372576.22	386799.22	407190.84	402409.44	
sp|P14733|LMNB1_MOUSE	P14733	LMNB1_MOUSE	Lmnb1	588	Mus musculus	1:Experimental evidence at protein level	Lamin-B1	1.0	0.999	34	178	153	185	25	28	23	31	31	40	22	23	20	26	28	34	26	29	24	33	32	41	1600193.4	1492799.2	1598417.1	1931050.1	1910743.5	1945057.5	206722.81	194589.52	190506.08	215312.4	219674.28	218726.84	
sp|P14824|ANXA6_MOUSE	P14824	ANXA6_MOUSE	Anxa6	673	Mus musculus	1:Experimental evidence at protein level	Annexin A6	1.0	0.999	53	15	15	513	3	2	1	3	3	3	3	2	1	3	3	3	79	98	56	104	91	85	116505.42	92439.47	49850.67	82018.58	85204.3	104067.09	71328.375	56508.652	49850.67	49780.414	52098.03	63706.848	
sp|P14869|RLA0_MOUSE	P14869	RLA0_MOUSE	Rplp0	317	Mus musculus	1:Experimental evidence at protein level	Large ribosomal subunit protein uL10	1.0	0.999	27	707	304	707	91	134	118	112	113	139	33	61	53	51	40	66	91	134	118	112	113	139	2.5957804E7	3.4209452E7	2.8659798E7	3.4162896E7	2.9316326E7	3.408119E7	5204626.0	6221334.5	4976998.5	5151060.0	5657316.0	5114550.0	
sp|P14873|MAP1B_MOUSE	P14873	MAP1B_MOUSE	Map1b	2464	Mus musculus	1:Experimental evidence at protein level	Microtubule-associated protein 1B	1.0	0.999	18	74	74	74	3	15	9	13	18	16	3	15	9	13	18	16	3	15	9	13	18	16	190870.38	464393.47	327812.9	588521.1	824802.4	574815.44	79104.53	92422.88	87052.85	74408.43	109761.055	101648.78	
sp|P15105|GLNA_MOUSE	P15105	GLNA_MOUSE	Glul	373	Mus musculus	1:Experimental evidence at protein level	Glutamine synthetase	0.9829	0.9967	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	128597.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|D3YVK1|D3YVK1_MOUSE
sp|P15327|PMGE_MOUSE	P15327	PMGE_MOUSE	Bpgm	259	Mus musculus	1:Experimental evidence at protein level	Bisphosphoglycerate mutase	1.0	0.999	5	13	5	13	5	0	2	4	1	1	2	0	1	2	0	0	5	0	2	4	1	1	223547.95	0.0	38662.22	287981.88	70276.27	46388.734	74040.164	0.0	26348.715	74722.56	80686.8	53260.625	
