Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	endo_control_1 Spectral Count	endo_control_2 Spectral Count	endo_control_3 Spectral Count	endo_hyb_1 Spectral Count	endo_hyb_2 Spectral Count	endo_hyb_3 Spectral Count	endo_control_1 Unique Spectral Count	endo_control_2 Unique Spectral Count	endo_control_3 Unique Spectral Count	endo_hyb_1 Unique Spectral Count	endo_hyb_2 Unique Spectral Count	endo_hyb_3 Unique Spectral Count	endo_control_1 Total Spectral Count	endo_control_2 Total Spectral Count	endo_control_3 Total Spectral Count	endo_hyb_1 Total Spectral Count	endo_hyb_2 Total Spectral Count	endo_hyb_3 Total Spectral Count	endo_control_1 Intensity	endo_control_2 Intensity	endo_control_3 Intensity	endo_hyb_1 Intensity	endo_hyb_2 Intensity	endo_hyb_3 Intensity	endo_control_1 MaxLFQ Intensity	endo_control_2 MaxLFQ Intensity	endo_control_3 MaxLFQ Intensity	endo_hyb_1 MaxLFQ Intensity	endo_hyb_2 MaxLFQ Intensity	endo_hyb_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P68368|TBA4A_MOUSE	P68368	TBA4A_MOUSE	Tuba4a	448	Mus musculus	1:Experimental evidence at protein level	Tubulin alpha-4A chain	1.0	0.999	28	270	0	935	53	55	35	54	53	20	0	0	0	0	0	0	168	194	100	195	192	86	7517305.0	7572432.0	9275330.0	8536584.0	7284744.5	5741543.5	3666995.8	3135921.8	4409615.5	3595123.0	3317067.2	2506103.0	tr|A0A0A0MQA5|A0A0A0MQA5_MOUSE
sp|P68369|TBA1A_MOUSE	P68369	TBA1A_MOUSE	Tuba1a	451	Mus musculus	1:Experimental evidence at protein level	Tubulin alpha-1A chain	1.0	0.999	35	1154	0	1154	206	244	133	232	223	116	0	0	0	0	0	0	206	244	133	232	223	116	6.6201016E7	6.0451304E7	6.0023336E7	6.0860956E7	7.045644E7	6.8160504E7	1.158365E7	1.0393042E7	1.1870001E7	1.2218526E7	1.3213875E7	1.157815E7	
sp|P68372|TBB4B_MOUSE	P68372	TBB4B_MOUSE	Tubb4b	445	Mus musculus	1:Experimental evidence at protein level	Tubulin beta-4B chain	1.0	0.999	31	226	43	1427	46	34	19	56	54	17	10	11	2	7	10	3	261	256	164	298	327	121	8276679.0	5369039.5	7008551.0	7041763.5	8899006.0	8972014.0	3672572.0	2099423.5	3117776.2	3305579.5	4091255.0	3403666.2	
sp|P68404-2|KPCB_MOUSE	P68404-2	KPCB_MOUSE	Prkcb	673	Mus musculus		Isoform Beta-II of Protein kinase C beta type	1.0	0.999	17	55	9	94	13	10	0	11	13	8	1	2	0	1	3	2	20	18	1	19	26	10	800101.8	888884.44	0.0	541411.6	928555.9	797266.94	370845.78	342812.97	0.0	209047.12	296071.16	392101.8	
sp|P68433|H31_MOUSE	P68433	H31_MOUSE	H3c1	136	Mus musculus	1:Experimental evidence at protein level	Histone H3.1	0.9999	0.999	17	8	0	190	1	1	0	3	1	2	0	0	0	0	0	0	33	27	46	25	30	29	306097.84	231157.52	0.0	396930.3	191437.77	87257.16	306097.84	231157.52	0.0	372777.56	191437.77	87257.16	sp|P84228|H32_MOUSE, tr|A0A1W2P768|A0A1W2P768_MOUSE
sp|P68510|1433F_MOUSE	P68510	1433F_MOUSE	Ywhah	246	Mus musculus	1:Experimental evidence at protein level	14-3-3 protein eta	1.0	0.999	21	93	93	249	19	18	1	22	25	8	19	18	1	22	25	8	50	48	20	53	55	23	2441934.2	2529524.0	117894.16	1805095.6	2263317.0	2130584.0	465538.8	464340.1	474811.25	384408.5	454478.38	400908.75	
sp|P68871|HBB_HUMAN	P68871	HBB_HUMAN	HBB	147	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit beta	1.0	0.999	12	53	53	133	9	6	10	4	5	19	9	6	10	4	5	19	22	26	17	17	23	28	426637.16	400075.62	1116180.6	229540.62	424571.62	5668722.5	123269.0	206533.4	811874.25	95809.48	136452.89	2039017.0	
sp|P69566|RANB9_MOUSE	P69566	RANB9_MOUSE	Ranbp9	653	Mus musculus	1:Experimental evidence at protein level	Ran-binding protein 9	1.0	0.999	3	9	0	9	1	2	0	3	3	0	0	0	0	0	0	0	1	2	0	3	3	0	82694.07	100211.27	0.0	109914.26	98088.19	0.0	43206.72	38559.777	0.0	63716.953	50604.26	0.0	tr|E9Q5D6|E9Q5D6_MOUSE
sp|P69905|HBA_HUMAN	P69905	HBA_HUMAN	HBA2	142	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit alpha	1.0	0.999	13	56	56	151	4	6	0	15	12	19	4	6	0	15	12	19	26	24	14	26	28	33	1192614.8	312285.8	0.0	2193680.2	2693760.8	4859172.5	368005.1	109600.305	0.0	780064.1	721665.3	835183.9	
sp|P70121|ZHX1_MOUSE	P70121	ZHX1_MOUSE	Zhx1	873	Mus musculus	1:Experimental evidence at protein level	Zinc fingers and homeoboxes protein 1	0.9434	0.999	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	102423.1	0.0	0.0	70683.73	146070.89	0.0	102423.1	0.0	0.0	70683.73	146070.89	0.0	tr|H3BK31|H3BK31_MOUSE
sp|P70122|SBDS_MOUSE	P70122	SBDS_MOUSE	Sbds	250	Mus musculus	1:Experimental evidence at protein level	Ribosome maturation protein SBDS	1.0	0.999	13	49	18	49	16	7	0	10	15	1	6	1	0	5	6	0	16	7	0	10	15	1	766036.44	467715.7	0.0	504248.25	766579.1	360300.34	76093.375	73543.93	0.0	73581.58	83708.24	114293.92	
sp|P70124|SPB5_MOUSE	P70124	SPB5_MOUSE	Serpinb5	375	Mus musculus	1:Experimental evidence at protein level	Serpin B5	0.8431	0.9969	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	21423.004	0.0	55061.96	0.0	0.0	0.0	21423.004	0.0	55061.96	0.0	0.0	
sp|P70158|ASM3A_MOUSE	P70158	ASM3A_MOUSE	Smpdl3a	445	Mus musculus	1:Experimental evidence at protein level	Acid sphingomyelinase-like phosphodiesterase 3a	0.9434	0.999	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	30843.525	0.0	0.0	26318.27	39187.453	0.0	30843.525	0.0	0.0	26318.27	39187.453	0.0	
sp|P70168|IMB1_MOUSE	P70168	IMB1_MOUSE	Kpnb1	876	Mus musculus	1:Experimental evidence at protein level	Importin subunit beta-1	1.0	0.999	28	267	267	267	51	55	9	75	56	21	51	55	9	75	56	21	51	55	9	75	56	21	4283982.0	4433189.0	1404617.9	4569713.0	4235378.5	3183513.2	545697.94	593871.06	721175.44	684952.7	592350.3	557544.4	
sp|P70175|DLG3_MOUSE	P70175	DLG3_MOUSE	Dlg3	849	Mus musculus	1:Experimental evidence at protein level	Disks large homolog 3	0.9998	0.999	3	2	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0.0	32335.83	0.0	44105.434	0.0	0.0	0.0	46659.598	0.0	20649.006	0.0	0.0	tr|A2BEE9|A2BEE9_MOUSE, tr|Q52KF7|Q52KF7_MOUSE
sp|P70181|PI51B_MOUSE	P70181	PI51B_MOUSE	Pip5k1b	539	Mus musculus	1:Experimental evidence at protein level	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta	1.0	0.999	2	3	2	3	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	54984.344	34957.87	0.0	0.0	58226.137	0.0	54984.344	34957.87	0.0	0.0	0.0	0.0	
sp|P70188-2|KIFA3_MOUSE	P70188-2	KIFA3_MOUSE	Kifap3	772	Mus musculus		Isoform KAP3B of Kinesin-associated protein 3	1.0	0.999	3	3	0	4	2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	53625.89	30119.062	0.0	0.0	41823.375	43189.24	27946.828	30381.584	0.0	0.0	23703.32	43565.684	sp|P70188|KIFA3_MOUSE
sp|P70195|PSB7_MOUSE	P70195	PSB7_MOUSE	Psmb7	277	Mus musculus	1:Experimental evidence at protein level	Proteasome subunit beta type-7	1.0	0.999	11	103	103	103	21	20	4	27	24	7	21	20	4	27	24	7	21	20	4	27	24	7	1687722.4	1568803.0	770881.25	1876534.9	1447235.4	1354747.1	437798.56	505228.78	484417.2	554689.3	438786.1	360377.7	
sp|P70196|TRAF6_MOUSE	P70196	TRAF6_MOUSE	Traf6	530	Mus musculus	1:Experimental evidence at protein level	TNF receptor-associated factor 6	0.9434	0.999	1	3	3	3	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	34532.97	24823.105	0.0	33127.76	29300.266	0.0	34532.97	24823.105	0.0	33127.76	29300.266	0.0	
sp|P70202|LXN_MOUSE	P70202	LXN_MOUSE	Lxn	222	Mus musculus	1:Experimental evidence at protein level	Latexin	1.0	0.999	2	5	5	5	1	2	0	1	1	0	1	2	0	1	1	0	1	2	0	1	1	0	102466.78	105786.12	0.0	50587.715	97269.33	0.0	62853.1	63807.258	0.0	50587.715	58991.32	0.0	
sp|P70227|ITPR3_MOUSE	P70227	ITPR3_MOUSE	Itpr3	2670	Mus musculus	1:Experimental evidence at protein level	Inositol 1,4,5-trisphosphate receptor type 3	1.0	0.999	15	29	29	29	5	7	0	7	10	0	5	7	0	7	10	0	5	7	0	7	10	0	487507.7	374265.94	0.0	153130.12	326588.62	56782.863	61786.242	61927.62	0.0	65093.367	58335.375	43326.438	
sp|P70245|EBP_MOUSE	P70245	EBP_MOUSE	Ebp	230	Mus musculus	1:Experimental evidence at protein level	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	1.0	0.999	2	7	1	7	1	1	0	3	2	0	0	0	0	0	1	0	1	1	0	3	2	0	125575.92	93587.82	0.0	169590.47	190748.9	0.0	97819.36	93587.82	0.0	169590.47	149761.17	0.0	
sp|P70248|MYO1F_MOUSE	P70248	MYO1F_MOUSE	Myo1f	1099	Mus musculus	1:Experimental evidence at protein level	Unconventional myosin-If	0.9999	0.9988	2	2	1	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	11564.202	0.0	738146.75	34293.152	0.0	0.0	11564.202	0.0	0.0	34293.152	0.0	0.0	
sp|P70255-2|NFIC_MOUSE	P70255-2	NFIC_MOUSE	Nfic	430	Mus musculus		Isoform 2 of Nuclear factor 1 C-type	1.0	0.999	3	11	0	11	3	2	0	4	2	0	0	0	0	0	0	0	3	2	0	4	2	0	68145.44	64623.46	0.0	51093.867	15238.492	78839.72	37428.184	30088.742	0.0	49007.105	25721.814	57589.09	sp|P70255-3|NFIC_MOUSE, sp|P70255-4|NFIC_MOUSE, sp|P70255-5|NFIC_MOUSE, sp|P70255-6|NFIC_MOUSE, sp|P70255-7|NFIC_MOUSE, sp|P70255|NFIC_MOUSE, sp|Q02780-2|NFIA_MOUSE, sp|Q02780-3|NFIA_MOUSE, sp|Q02780-4|NFIA_MOUSE, sp|Q02780-5|NFIA_MOUSE, sp|Q02780-6|NFIA_MOUSE, sp|Q02780-7|NFIA_MOUSE, sp|Q02780|NFIA_MOUSE, tr|A0A1Y7VK55|A0A1Y7VK55_MOUSE, tr|B1AUB6|B1AUB6_MOUSE, tr|B1AUB8|B1AUB8_MOUSE, tr|B1AUB9|B1AUB9_MOUSE, tr|B1AUC0|B1AUC0_MOUSE
sp|P70261|PALD_MOUSE	P70261	PALD_MOUSE	Pald1	859	Mus musculus	1:Experimental evidence at protein level	Paladin	0.9434	0.999	1	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	39054.47	0.0	0.0	35592.73	0.0	0.0	39054.47	0.0	0.0	35592.73	0.0	0.0	tr|A0A0R4J007|A0A0R4J007_MOUSE
sp|P70268-2|PKN1_MOUSE	P70268-2	PKN1_MOUSE	Pkn1	951	Mus musculus		Isoform 2 of Serine/threonine-protein kinase N1	1.0	0.999	8	15	0	17	1	4	0	4	6	0	0	0	0	0	0	0	2	4	0	4	6	1	158531.8	119293.41	0.0	120533.22	201064.31	0.0	56843.4	48784.344	0.0	63011.082	50776.188	0.0	sp|P70268|PKN1_MOUSE
sp|P70279|SURF6_MOUSE	P70279	SURF6_MOUSE	Surf6	355	Mus musculus	1:Experimental evidence at protein level	Surfeit locus protein 6	1.0	0.9989	3	5	3	5	1	1	0	1	2	0	1	1	0	0	1	0	1	1	0	1	2	0	97686.14	105972.82	0.0	52667.805	70728.875	28065.23	52998.477	34332.492	0.0	80605.41	36759.305	45728.156	
sp|P70280|VAMP7_MOUSE	P70280	VAMP7_MOUSE	Vamp7	220	Mus musculus	1:Experimental evidence at protein level	Vesicle-associated membrane protein 7	1.0	0.999	9	40	40	40	8	10	0	10	12	0	8	10	0	10	12	0	8	10	0	10	12	0	624530.75	548677.8	0.0	545579.44	626219.4	201400.94	120069.44	98598.68	0.0	147015.19	112444.58	104765.85	
sp|P70288|HDAC2_MOUSE	P70288	HDAC2_MOUSE	Hdac2	488	Mus musculus	1:Experimental evidence at protein level	Histone deacetylase 2	1.0	0.999	7	7	0	52	2	2	0	2	1	0	0	0	0	0	0	0	12	9	6	12	9	4	197243.1	195650.4	0.0	174257.06	120963.92	0.0	93289.24	89445.23	0.0	77724.27	86710.03	0.0	tr|A0A0R4J008|A0A0R4J008_MOUSE
sp|P70290|EM55_MOUSE	P70290	EM55_MOUSE	Mpp1	466	Mus musculus	1:Experimental evidence at protein level	55 kDa erythrocyte membrane protein	1.0	0.999	5	15	0	15	5	4	0	2	4	0	0	0	0	0	0	0	5	4	0	2	4	0	167400.36	166609.52	0.0	127517.625	202945.0	57761.09	53873.63	51901.36	0.0	53106.613	54718.79	77894.8	tr|A2AN84|A2AN84_MOUSE, tr|B7ZCL8|B7ZCL8_MOUSE
sp|P70295|AUP1_MOUSE	P70295	AUP1_MOUSE	Aup1	410	Mus musculus	1:Experimental evidence at protein level	Lipid droplet-regulating VLDL assembly factor AUP1	1.0	0.999	2	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	26464.197	0.0	0.0	24096.732	24003.68	0.0	26464.197	0.0	0.0	0.0	24003.68	0.0	tr|A0A0N4SVA6|A0A0N4SVA6_MOUSE, tr|Q3U3K9|Q3U3K9_MOUSE
sp|P70296|PEBP1_MOUSE	P70296	PEBP1_MOUSE	Pebp1	187	Mus musculus	1:Experimental evidence at protein level	Phosphatidylethanolamine-binding protein 1	1.0	0.999	14	237	57	237	48	45	22	57	51	14	10	13	6	14	11	3	48	45	22	57	51	14	1.2161618E7	1.1826623E7	7129545.0	9226113.0	1.1662065E7	1.0524732E7	3036190.0	2988676.2	2212888.0	2529304.8	2977528.2	2375991.2	
sp|P70297|STAM1_MOUSE	P70297	STAM1_MOUSE	Stam	548	Mus musculus	1:Experimental evidence at protein level	Signal transducing adapter molecule 1	1.0	0.999	6	23	0	23	8	7	0	3	4	1	0	0	0	0	0	0	8	7	0	3	4	1	345465.47	317874.75	0.0	275480.3	324146.8	185576.0	101918.31	92740.34	0.0	95451.15	93227.81	117025.74	tr|Q3UGN9|Q3UGN9_MOUSE
sp|P70302|STIM1_MOUSE	P70302	STIM1_MOUSE	Stim1	685	Mus musculus	1:Experimental evidence at protein level	Stromal interaction molecule 1	1.0	0.999	20	75	6	75	18	18	0	19	17	3	1	1	0	2	2	0	18	18	0	19	17	3	997120.4	945365.0	0.0	773469.94	922633.56	656082.1	137914.14	130344.52	0.0	111437.38	126197.914	152396.22	
sp|P70303|PYRG2_MOUSE	P70303	PYRG2_MOUSE	Ctps2	586	Mus musculus	1:Experimental evidence at protein level	CTP synthase 2	1.0	0.999	12	37	0	37	7	10	0	8	12	0	0	0	0	0	0	0	7	10	0	8	12	0	511990.16	565814.2	0.0	562259.3	551676.0	384416.66	100745.12	120262.31	0.0	127222.09	112242.945	160579.1	
sp|P70315|WASP_MOUSE	P70315	WASP_MOUSE	Was	520	Mus musculus	1:Experimental evidence at protein level	Actin nucleation-promoting factor WAS	0.9998	0.999	2	3	3	3	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	0.0	0.0	0.0	7380.6797	4689.9883	0.0	0.0	0.0	0.0	8527.713	2320.7524	0.0	
sp|P70318|TIAR_MOUSE	P70318	TIAR_MOUSE	Tial1	392	Mus musculus	1:Experimental evidence at protein level	Nucleolysin TIAR	1.0	0.999	10	26	0	26	5	4	0	8	7	2	0	0	0	0	0	0	5	4	0	8	7	2	398381.72	287459.47	0.0	342271.34	374095.56	235892.28	151310.88	135067.89	0.0	109218.47	120290.39	136478.38	tr|Q921W2|Q921W2_MOUSE
sp|P70333|HNRH2_MOUSE	P70333	HNRH2_MOUSE	Hnrnph2	449	Mus musculus	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H2	1.0	0.999	12	34	34	182	3	4	1	14	11	1	3	4	1	14	11	1	37	33	10	46	43	13	241766.19	210520.12	144239.58	663862.4	677233.25	169291.14	139707.2	133762.27	178255.98	215447.69	131470.61	165050.4	
sp|P70335-2|ROCK1_MOUSE	P70335-2	ROCK1_MOUSE	Rock1	1353	Mus musculus		Isoform 2 of Rho-associated protein kinase 1	1.0	0.999	18	36	0	36	10	9	0	12	5	0	0	0	0	0	0	0	10	9	0	12	5	0	781162.0	673314.9	0.0	361740.56	453174.88	652493.94	107656.38	98685.79	0.0	67197.76	76066.23	215812.88	sp|P70335|ROCK1_MOUSE
sp|P70349|HINT1_MOUSE	P70349	HINT1_MOUSE	Hint1	126	Mus musculus	1:Experimental evidence at protein level	Adenosine 5'-monophosphoramidase HINT1	1.0	0.999	6	59	44	59	10	5	2	16	23	3	8	0	0	14	21	1	10	5	2	16	23	3	1750437.4	1173891.0	232909.52	1794368.0	2249004.2	1520683.9	1008584.25	1129091.8	232909.52	924162.56	1133314.5	964325.2	
sp|P70353|NFYC_MOUSE	P70353	NFYC_MOUSE	Nfyc	335	Mus musculus	1:Experimental evidence at protein level	Nuclear transcription factor Y subunit gamma	1.0	0.999	2	9	9	9	1	2	0	2	4	0	1	2	0	2	4	0	1	2	0	2	4	0	94804.81	71688.805	0.0	50548.42	110202.34	0.0	55883.168	39529.188	0.0	73999.18	54902.355	0.0	
sp|P70362|UFD1_MOUSE	P70362	UFD1_MOUSE	Ufd1	307	Mus musculus	1:Experimental evidence at protein level	Ubiquitin recognition factor in ER-associated degradation protein 1	1.0	0.999	12	65	62	65	13	12	2	15	20	3	12	11	2	15	19	3	13	12	2	15	20	3	1140432.2	1073811.9	292863.66	1085918.6	1353232.2	704824.1	229534.06	238933.0	175491.88	268933.72	269109.97	276235.94	
sp|P70365-2|NCOA1_MOUSE	P70365-2	NCOA1_MOUSE	Ncoa1	1405	Mus musculus		Isoform 2 of Nuclear receptor coactivator 1	1.0	0.9978	3	3	0	3	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	48389.58	8774.447	0.0	6344.1006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P70365-3|NCOA1_MOUSE, sp|P70365-4|NCOA1_MOUSE, sp|P70365|NCOA1_MOUSE, tr|A0A1W2P7C1|A0A1W2P7C1_MOUSE
sp|P70372|ELAV1_MOUSE	P70372	ELAV1_MOUSE	Elavl1	326	Mus musculus	1:Experimental evidence at protein level	ELAV-like protein 1	1.0	0.999	16	162	162	162	30	34	10	37	35	16	30	34	10	37	35	16	30	34	10	37	35	16	3033010.0	2616394.2	1148820.2	2917524.8	2907259.8	2627219.2	474610.47	419680.22	425490.75	466244.84	441197.34	526380.4	
sp|P70388|RAD50_MOUSE	P70388	RAD50_MOUSE	Rad50	1312	Mus musculus	1:Experimental evidence at protein level	DNA repair protein RAD50	1.0	0.999	4	3	0	4	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	16109.226	58100.49	0.0	26826.684	53007.727	0.0	36700.88	20698.207	0.0	26678.863	24705.482	0.0	tr|Q5SV02|Q5SV02_MOUSE
sp|P70389|ALS_MOUSE	P70389	ALS_MOUSE	Igfals	603	Mus musculus	1:Experimental evidence at protein level	Insulin-like growth factor-binding protein complex acid labile subunit	1.0	0.999	7	27	0	27	9	4	3	6	5	0	0	0	0	0	0	0	9	4	3	6	5	0	427585.4	209350.28	95266.66	194572.02	229078.25	0.0	127613.016	78689.8	95266.66	94808.22	96104.23	0.0	tr|A0A0R4J0S2|A0A0R4J0S2_MOUSE
sp|P70392|RGRF2_MOUSE	P70392	RGRF2_MOUSE	Rasgrf2	1189	Mus musculus	1:Experimental evidence at protein level	Ras-specific guanine nucleotide-releasing factor 2	1.0	0.999	4	13	2	13	2	2	0	8	1	0	0	0	0	2	0	0	2	2	0	8	1	0	89397.55	111804.21	0.0	213850.94	91505.83	88965.48	51412.285	55066.758	0.0	74052.88	52582.207	88965.48	
sp|P70398|USP9X_MOUSE	P70398	USP9X_MOUSE	Usp9x	2559	Mus musculus	1:Experimental evidence at protein level	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	1.0	0.999	50	215	0	215	43	55	2	59	52	4	0	0	0	0	0	0	43	55	2	59	52	4	3185610.2	3006235.5	200206.06	2925797.2	3047980.0	1650434.8	181819.42	184523.94	160460.12	194212.83	195584.7	207977.42	tr|Q4FE56|Q4FE56_MOUSE
sp|P70399-5|TP53B_MOUSE	P70399-5	TP53B_MOUSE	Tp53bp1	1963	Mus musculus		Isoform 2 of TP53-binding protein 1	1.0	0.999	22	86	0	86	15	25	0	24	18	4	0	0	0	0	0	0	15	25	0	24	18	4	1003718.5	984647.94	0.0	1028342.7	986531.1	959962.5	136523.62	134952.53	0.0	158533.52	144283.28	138681.98	sp|P70399|TP53B_MOUSE, tr|A0A5H1ZRL7|A0A5H1ZRL7_MOUSE
sp|P70404|IDHG1_MOUSE	P70404	IDHG1_MOUSE	Idh3g	393	Mus musculus	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial	1.0	0.999	11	63	63	63	15	10	0	16	20	2	15	10	0	16	20	2	15	10	0	16	20	2	1389498.2	641985.06	0.0	801145.1	1013203.3	463494.72	241325.36	184050.95	0.0	168171.75	208615.31	221138.28	
sp|P70412|CUZD1_MOUSE	P70412	CUZD1_MOUSE	Cuzd1	607	Mus musculus	1:Experimental evidence at protein level	CUB and zona pellucida-like domain-containing protein 1	0.9985	0.999	2	3	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	109366.34	0.0	0.0	0.0	18671.52	0.0	68470.42	0.0	0.0	0.0	18671.52	0.0	
sp|P70414|NAC1_MOUSE	P70414	NAC1_MOUSE	Slc8a1	970	Mus musculus	1:Experimental evidence at protein level	Sodium/calcium exchanger 1	1.0	0.999	2	4	0	4	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	2	0	37233.58	28464.094	0.0	44533.55	48339.812	0.0	37233.58	28464.094	0.0	44533.55	38652.617	0.0	
sp|P70429-2|EVL_MOUSE	P70429-2	EVL_MOUSE	Evl	393	Mus musculus		Isoform 1 of Ena/VASP-like protein	1.0	0.999	4	9	0	9	2	3	0	3	1	0	0	0	0	0	0	0	2	3	0	3	1	0	53907.562	60486.867	0.0	62827.55	27359.275	0.0	27185.893	25597.865	0.0	26079.77	16261.1875	0.0	sp|P70429|EVL_MOUSE, tr|F8WJB9|F8WJB9_MOUSE
sp|P70441|NHRF1_MOUSE	P70441	NHRF1_MOUSE	Nherf1	355	Mus musculus	1:Experimental evidence at protein level	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.0	0.999	6	22	20	22	6	5	0	5	5	1	5	4	0	5	5	1	6	5	0	5	5	1	532178.25	645842.75	0.0	340688.16	611513.5	483942.8	335710.03	337794.56	0.0	217531.66	335345.78	336179.66	
sp|P70445|4EBP2_MOUSE	P70445	4EBP2_MOUSE	Eif4ebp2	120	Mus musculus	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4E-binding protein 2	0.9945	0.999	1	7	7	7	1	1	0	1	2	2	1	1	0	1	2	2	1	1	0	1	2	2	53982.074	70061.02	0.0	83788.945	65049.42	56971.844	53982.074	70061.02	0.0	83788.945	65049.42	56971.844	
sp|P70460|VASP_MOUSE	P70460	VASP_MOUSE	Vasp	375	Mus musculus	1:Experimental evidence at protein level	Vasodilator-stimulated phosphoprotein	1.0	0.999	7	35	35	35	7	7	0	12	9	0	7	7	0	12	9	0	7	7	0	12	9	0	387101.9	406779.06	0.0	384500.28	304731.03	0.0	91770.46	99778.0	0.0	99215.625	85568.5	0.0	
sp|P70665|SIAE_MOUSE	P70665	SIAE_MOUSE	Siae	541	Mus musculus	1:Experimental evidence at protein level	Sialate O-acetylesterase	1.0	0.999	2	6	0	6	0	1	0	3	2	0	0	0	0	0	0	0	0	1	0	3	2	0	56559.312	64913.95	0.0	64071.67	51626.54	0.0	34945.23	39882.254	0.0	42586.766	34057.055	0.0	tr|A0A1L1SU77|A0A1L1SU77_MOUSE, tr|A0A1N9M4K1|A0A1N9M4K1_MOUSE
sp|P70670|NACAM_MOUSE	P70670	NACAM_MOUSE	Naca	2187	Mus musculus	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	8	100	2	100	18	21	10	21	21	9	0	0	0	2	0	0	18	21	10	21	21	9	2972010.0	2920776.0	1463307.8	3031050.2	3358855.8	2249316.5	1019435.9	1090922.8	771968.75	1062080.2	1071529.9	851741.06	
sp|P70671|IRF3_MOUSE	P70671	IRF3_MOUSE	Irf3	419	Mus musculus	1:Experimental evidence at protein level	Interferon regulatory factor 3	1.0	0.999	3	6	0	6	1	3	0	0	2	0	0	0	0	0	0	0	1	3	0	0	2	0	49715.242	65933.68	0.0	0.0	40303.97	0.0	36574.812	47048.715	0.0	0.0	22787.676	0.0	
sp|P70677|CASP3_MOUSE	P70677	CASP3_MOUSE	Casp3	277	Mus musculus	1:Experimental evidence at protein level	Caspase-3	1.0	0.999	2	4	2	4	0	1	0	2	1	0	0	0	0	2	0	0	0	1	0	2	1	0	107184.84	75451.445	0.0	63173.203	88352.66	0.0	64841.59	60699.55	0.0	77974.85	52877.812	0.0	
sp|P70696|H2B1A_MOUSE	P70696	H2B1A_MOUSE	H2bc1	127	Mus musculus	1:Experimental evidence at protein level	Histone H2B type 1-A	1.0	0.999	19	31	16	276	8	4	0	9	8	2	5	1	0	7	3	0	70	55	28	44	51	28	2851791.5	1839846.1	0.0	4161313.0	2709800.5	4588798.0	4438975.5	1086740.0	0.0	3754870.0	2488073.5	4588798.0	
sp|P70697|DCUP_MOUSE	P70697	DCUP_MOUSE	Urod	367	Mus musculus	1:Experimental evidence at protein level	Uroporphyrinogen decarboxylase	1.0	0.999	7	22	14	22	4	6	0	7	5	0	3	3	0	5	3	0	4	6	0	7	5	0	212797.5	377226.97	0.0	304911.47	368882.8	215711.72	91341.6	89783.27	0.0	84559.15	91320.984	121878.78	
sp|P70698|PYRG1_MOUSE	P70698	PYRG1_MOUSE	Ctps1	591	Mus musculus	1:Experimental evidence at protein level	CTP synthase 1	1.0	0.999	9	19	19	30	4	5	0	5	5	0	4	5	0	5	5	0	6	8	0	7	9	0	474302.03	389319.97	0.0	371162.88	478769.94	192811.44	236102.56	209563.61	0.0	190968.11	218734.61	183604.64	
sp|P70699|LYAG_MOUSE	P70699	LYAG_MOUSE	Gaa	953	Mus musculus	1:Experimental evidence at protein level	Lysosomal alpha-glucosidase	1.0	0.999	28	219	53	219	38	49	9	53	47	23	6	14	5	14	10	4	38	49	9	53	47	23	5559330.5	5202855.0	2193164.0	7255430.0	5821650.0	5195140.0	1010678.9	1039321.75	962688.0	1351034.5	1034782.2	1163829.6	
